130-410021-601,DOOR ASSEMBLY NOSE WITH ICE PROTECT,4,,
130-410021-602,DOOR ASSEMBLY NOSE WITH ICE PROTECT,4,,
130-410021-605,DOOR ASSEMBLY NOSE WITH ICE PROTECT,4,,
130-410021-606,DOOR ASSEMBLY NOSE WITH ICE PROTECT,4,,
115-430100-647,DOOR ASSEMBLY-EMERGENCY EXIT,12,,
50-410015-613,DOOR ASSEMBLY-NOSE,2,,
50-534552-643,DOOR PANEL ASSEMBLY,2,,
50-534552-644,DOOR PANEL ASSEMBLY,3,,
99-120023-3,DOOR-CTR WING,1.5,,
101-980001-41,DOOR-NACELLE INSTALLATION AFT,3,,
101-440019-607,DORSAL FIN ASSEMBLY-WITH OUT ANTENNA,30,,
101-980044-5,DOUBLER ASSEM.,2,,
101-820035-3,DRAG LEG,4,,
710C4X,DRAIN VALVE,1,,
966B1,DRAIN VALVE,1,,
967C11,DRAIN VALVE,5,,
CCA-3400,DRAIN VALVE,3,,
ES43030-2,DRYER - RECEIVER BOTTLE,1.5,,
110-323,DUAL MODE ROD ANTENNA,1,,
109-910029-9,DUCT,20,,
SCDEETS4-96-5,DUCT,1,,
101-910161-1,DUCT ASSEMBLY,5,,
130-550011-13,DUCT ASSEMBLY,4,,
130-550011-15,DUCT ASSEMBLY,4,,
130-550011-5,DUCT ASSEMBLY,4,,
130-550012-3,DUCT ASSEMBLY,1,,
300-0674-1,DUCT ASSEMBLY,3,,
300-0676-1,DUCT ASSEMBLY,3,,
101-120156-603,DUCT ASSEMBLY HEAT EXCHANGER,6,,
101-910119-151,DUCT ASSEMBLY-COWL ASSEMBLY,50,,
101-910049-12 U,DUCT COWLING ASSEMBLY-LWR  (UNDRILLED),8,,
101-910156-23,DUCT TOP AIR,36,,
101-910157-5,DUCT-AIR SCOOP ASSEMBLY & AFT-LOWER COWL,5,,
130-320041-13,EDGE LITE PANEL ASSEMBLY- SWITCH PEDESTA,1,,
130-320037-1,EDGELIGHT PANEL ASSY - S/P LH OUTBOARD,1,,
101-320318-31,EDGELIGHT PANEL ASSY- S/P  LH INBOARD,2.5,,
101-364623-19,EDGELIGHT PANEL ASSY-VOLTMETER OVERHEAD,1,,
101-524698-27,EDGELIGHTED PANEL ASSEMBLY-PEDESTAL,2.5,,
101-384149-1,EJECTOR ASSEMBLY-VACUUM,1,,
101-384270-0005,EL PANEL - CIRCUIT BREAKER,2.5,,
130-384021-0003,EL PANEL - CIRCUIT BREAKER,1,,
130-384020-0001,EL PANEL ASSEMBLY-FUEL PANEL,1,,
90-910099-15,ELBOW ASSEMBLY,2.5,,
101-384159-7,ELECT TURBINE TACHOMETER INDICATOR,2,,
50-384180-1,ELECTRIC HEATER COIL,5,,
MS3349-2,ELECTRIC PLUG,1,,
130-384021-0005,ELECTROLUMINESCENT CIRCUIT BREAKER PANEL,1,,
130-384023-0001,ELECTROLUMINESCENT POWER SUPPLY,3,,
3029268,ELEMENT,0.5,,
D9-55-1,ELEMENT  03W041827,3,,
651540,ELEMENT ASSEMBLY,1,,
DMQ18-3,ELT ANTENNA,2,,
452-0130,ELT BATTERY PACK ASSEMBLY ALKALINE*RA-N,1,,
FLFR91.207,ELT INSPECTION,1,,
501-1228-04,EMERGENCY BATTERY(PS-835D)*RA-N,1,,
101-364798-629,EMERGENCY EXIT - SIGN ASSEMBLY,0.5,,
101-364798-639,EMERGENCY EXIT SIGN ASSEMBLY,1,,
24929-412,ENCODING ALTIMETER,3,,
44929-412,ENCODING ALTIMETER,2,,
50-534553-7,ESCUTCHEON - MAIN ACCESS DOOR  FOLDING S,0.5,,
101-384024-5,EVAP COIL,4,,
115-384002-9,EVAPORATOR COIL,8,,
115-384002-5,EVAPORATOR COIL ASSEM,4,,
10-381550-4,EXCITER*RA*,2,,
101-950017-1,EXHAUST PIPE,2,,
101-950017-3,EXHAUST PIPE,2,,
101-950017-33,EXHAUST PIPE,2,,
101-950017-35,EXHAUST PIPE,2,,
101-950017-73,EXHAUST PIPE ASSEM,2,,
101-950017-75,EXHAUST PIPE ASSEM,2,,
101-950017-77,EXHAUST PIPE ASSEMBLY-  ENGINE - LH,2,,
130-950001-29,EXHAUST PIPE ASSEMBLY - L/H,2,,
101-950017-79,EXHAUST PIPE ASSEMBLY - RH ENGINE,1.5,,
826-041,EXPANSION VALVE,0.01,,
826-042,EXPANSION VALVE,6,,
50-820130-8,EYE ASSEM-NOSE          GEAR STEERING,2,,
101-910209-11,FAIRING - EXHAUST STACK - LH,6,,
101-910209-12,FAIRING - EXHAUST STACK RH,6,,
85-3550-20,FAIRING (R.H.),4,,
101-910209-10,FAIRING ASSEM,8,,
101-420132-54,FAIRING ASSEMBLY - WING & FUSELAGE EXTEN,5,,
101-910209-9,FAIRING ASSEMBLY LEFT HAND,6,,
101-341779-33,FAN ASSEMBLY - BLOWER INSTALLATION,2,,
101-384212-1,FILL VALVE ASSY-OXYGEN,0.5,,
101-555084-3,FILTER,1,,
3028419,FILTER,2,,
3031781,FILTER,0.5,,
